CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
09377504,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PONTE ALTA - CRESOL PONTE ALTA,200803,B3S,I,2,Cooperativa de Crédito,,SC,Ponte Alta,,,,,I
09051765,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PORTO LUCENA - CRESOL PORTO LUCENA,200711,B3S,I,2,Cooperativa de Crédito,,RS,Porto Lucena,,,,,I
07076644,202506,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDARIA DE REALEZA - CRESOL REALEZA,200411,B3S,I,2,Cooperativa de Crédito,,PR,Realeza,,,,,I
09598438,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE RIO BONITO DO IGUAÇU - CRESOL RIO BONITO DO IGUAÇU,200807,B3S,I,2,Cooperativa de Crédito,,PR,Rio Bonito do Iguaçu,,,,,I
10512171,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE RIO BRANCO DO SUL - CRESOL RIO BRANCO DO SUL,200904,B3S,I,2,Cooperativa de Crédito,,PR,Rio Branco do Sul,S5,,,,I
08623418,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ROSÁRIO DO IVAÍ - CRESOL ROSÁRIO DO IVAÍ,200703,B3S,I,2,Cooperativa de Crédito,,PR,Rosário do Ivaí,,,,,I
04611476,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SALGADO FILHO - CRESOL SALGADO FILHO,200109,B3S,I,2,Cooperativa de Crédito,,PR,Salgado Filho,,,,,I
05169275,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SANTA MARIA DO OESTE - CRESOL SANTA MARIA DO OESTE,200208,B3S,I,2,Cooperativa de Crédito,,PR,Santa Maria do Oeste,,,,,I
03661027,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTIAGO DO SUL - CRESOL SANTIAGO,200004,B3S,I,2,Cooperativa de Crédito,,SC,Santiago do Sul,,,,,I
04649750,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SANTO ANTONIO DO SUDOESTE - CRESOL SANTO ANTONIO DO SUDOESTE,200109,B3S,I,2,Cooperativa de Crédito,,PR,Santo Antônio do Sudoeste,,,,,I
07557462,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SÃO JOÃO - CRESOL SÃO JOÃO,200509,B3S,I,2,Cooperativa de Crédito,,PR,São João,,,,,I
07542211,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SÃO JOÃO DA URTIGA - CRESOL SÃO JOÃO DA URTIGA,200509,B3S,I,2,Cooperativa de Crédito,,RS,São João da Urtiga,,,,,I
13059232,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SÃO JOÃO DO ITAPERIÚ   CRESOL SÃO JOÃO DO ITAPERIÚ,201101,B3S,I,2,Cooperativa de Crédito,,SC,São João do Itaperiú,,,,,I
08387258,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SCHROEDER - CRESOL SCHROEDER,200611,B3S,I,2,Cooperativa de Crédito,,SC,Schroeder,,,,,I
05533128,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SERRA GERAL - CRESOL SERRA GERAL,200305,B3S,I,2,Cooperativa de Crédito,,BA,Caculé,,,,,I
05478479,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TABOCAS DO BREJO VELHO - CRESOL TABOCAS DO BREJO VELHO,200304,B3S,I,2,Cooperativa de Crédito,,BA,Tabocas do Brejo Velho,,,,,I
07319077,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TAIÓ - CRESOL TAIÓ,200505,B3S,I,2,Cooperativa de Crédito,,SC,Taió,,,,,I
11282942,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TAMBOARA - CRESOL TAMBOARA,201001,B3S,I,2,Cooperativa de Crédito,,PR,Tamboara,,,,,I
08805562,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TIRADENTES DO SUL - CRESOL TIRADENTES DO SUL,200707,B3S,I,2,Cooperativa de Crédito,,RS,Tiradentes do Sul,S5,,,,I
04273001,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE TRES BARRAS DO PARANA - CRESOL TRES BARRAS DO PARANA,200102,B3S,I,2,Cooperativa de Crédito,,PR,Três Barras do Paraná,,,,,I
08597482,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE UNIÃO DOS PLANALTOS - CRESOL UNIÃO DOS PLANALTOS,200704,B3S,I,2,Cooperativa de Crédito,,PR,Lapa,,,,,I
05152177,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE VERA CRUZ DO OESTE - CRESOL VERA CRUZ DO OESTE,200207,B3S,I,2,Cooperativa de Crédito,,PR,Vera Cruz do Oeste,,,,,I
03348165,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE VERE - CRESOL VERE,199909,B3S,I,2,Cooperativa de Crédito,,PR,Verê,S5,,,,I
07356021,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO ALTO DO VALE DO TAQUARI - CRESOL ILOPOLIS,200507,B3S,I,2,Cooperativa de Crédito,,RS,Ilópolis,,,,,I
